2012/1/14,100,BATTERY - SIMPLE ASSAULT,25,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",200 W  6TH                          ST,"(34.046, -118.2509)"
2012/1/14,1510,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,F,,,700 W  7TH                          ST,"(34.048, -118.2577)"
2012/4/14,1130,BURGLARY,23,M,,,400 S  FIGUEROA                     ST,"(34.0535, -118.256)"
2012/4/14,1805,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),49,M,,,1000    WILDE                        ST,"(34.0388, -118.2411)"
2012/6/14,1450,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",63,M,218,OTHER CUTTING INSTRUMENT,6TH,"(34.0435, -118.2471)"
2012/6/14,755,INTIMATE PARTNER - AGGRAVATED ASSAULT,68,F,308,STICK,600    STANFORD                     AV,"(34.0408, -118.2428)"
2012/6/14,1635,BATTERY - SIMPLE ASSAULT,,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1100 S  FIGUEROA                     ST,"(34.0437, -118.2652)"
2012/6/14,300,BATTERY - SIMPLE ASSAULT,31,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",6TH                          ST,"(34.0417, -118.2443)"
2012/6/14,2048,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",31,M,,,500 S  HILL                         ST,"(34.0488, -118.2518)"
2012/7/14,100,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",29,M,212,BOTTLE,400 S  SPRING                       ST,"(34.0488, -118.2483)"
2012/6/14,755,INTIMATE PARTNER - AGGRAVATED ASSAULT,61,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600    STANFORD                     AV,"(34.0408, -118.2428)"
2012/6/14,145,ROBBERY,42,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",900    SUN MUN                      WY,"(34.0655, -118.2372)"
2012/7/14,1525,SHOPLIFTING - PETTY THEFT ($950 & UNDER),29,M,,,400 S  BROADWAY,"(34.0495, -118.2494)"
