2011/1/14,2140,VEHICLE - STOLEN,13,,,,600 S  LOS ANGELES                  ST,"(34.0446, -118.249)"
2011/1/14,2050,ROBBERY,55,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4TH                          ST,"(34.0495, -118.2494)"
2011/2/14,2130,BURGLARY FROM VEHICLE,38,F,,,1000 S  HILL                         ST,"(34.0416, -118.2584)"
2011/3/14,1630,THEFT PLAIN - PETTY ($950 & UNDER),,M,,,200 E  6TH                          ST,"(34.0446, -118.249)"
2011/3/14,1650,INTIMATE PARTNER - SIMPLE ASSAULT,40,M,309,BOARD,300 W  5TH                          ST,"(34.0481, -118.2507)"
2011/4/14,2000,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,M,,,700 S  FIGUEROA                     ST,"(34.0494, -118.2599)"
2011/5/14,1830,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",,M,,,HILL                         ST,"(34.0377, -118.2621)"
2011/5/14,2030,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",53,M,,,600    MAPLE                        AV,"(34.0439, -118.2479)"
2011/5/14,1824,BIKE - STOLEN,43,M,,,6TH                          ST,"(34.0502, -118.2574)"
2011/6/14,700,BATTERY - SIMPLE ASSAULT,60,M,500,UNKNOWN WEAPON/OTHER WEAPON,600 S  SAN PEDRO                    ST,"(34.0423, -118.2452)"
2011/5/14,2300,"RAPE, FORCIBLE",36,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500    SAN JULIAN                   ST,"(34.0446, -118.245)"
2011/7/14,1445,BATTERY - SIMPLE ASSAULT,31,M,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  BROADWAY,"(34.0481, -118.2507)"
2011/7/14,1840,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",56,M,308,STICK,7TH                          ST,"(34.0349, -118.2386)"
2011/8/14,2115,"RAPE, ATTEMPTED",24,F,200,KNIFE WITH BLADE 6INCHES OR LESS,18TH                         ST,"(34.0328, -118.2647)"
2011/9/14,1600,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,F,,,18TH                         ST,"(34.0353, -118.2698)"
2011/9/14,1530,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,F,200,KNIFE WITH BLADE 6INCHES OR LESS,500    SAN JULIAN                   ST,"(34.0446, -118.245)"
2011/9/14,1510,ROBBERY,27,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",500 S  BROADWAY,"(34.0481, -118.2507)"
2011/9/14,2350,VANDALISM - MISDEAMEANOR ($399 OR UNDER),39,M,,,100 E  3RD                          ST,"(34.0496, -118.2458)"
2011/10/14,300,SEXUAL PENTRATION WITH A FOREIGN OBJECT,37,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400 S  MAIN                         ST,"(34.0482, -118.2472)"
2011/12/14,30,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,M,,,400 S  SPRING                       ST,"(34.0488, -118.2483)"
2011/12/14,1755,VANDALISM - MISDEAMEANOR ($399 OR UNDER),64,M,,,700 N  HILL                         ST,"(34.0607, -118.2405)"
2011/1/13,2200,ROBBERY,26,F,302,BLUNT INSTRUMENT,MAPLE,"(34.0424, -118.2493)"
2011/1/13,1250,BATTERY WITH SEXUAL CONTACT,15,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400 S  GRAND                        AV,"(34.0516, -118.2526)"
2011/1/13,800,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",23,F,,,600 S  HOPE                         ST,"(34.0495, -118.2563)"
2011/1/13,1200,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",,M,,,900 S  LOS ANGELES                  ST,"(34.0407, -118.2541)"
2011/1/13,600,"RAPE, FORCIBLE",16,F,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",HOPE,"(34.0333, -118.2697)"
2011/1/13,1300,THEFT OF IDENTITY,22,M,,,400 E  5TH                          ST,"(34.0446, -118.245)"
2011/1/13,800,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",29,F,,,1100 S  GRAND                        AV,"(34.0416, -118.262)"
2011/3/13,1500,THEFT PLAIN - PETTY ($950 & UNDER),67,F,,,100 S  HEWITT                       ST,"(34.0487, -118.2361)"
